# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
00A9 ; Эмодзи # E0.6 [1] (©️) авторские права
00AE ; Эмодзи # E0.6 [1] (®️) зарегистрированы
203C ; Эмодзи # E0.6 [1] (‼️) двойной восклицательный знак
2049 ; Эмодзи # E0.6 [1] (⁉️) восклицательно-вопросительный знак 
2122 ; Эмодзи # E0.6 [1] (™️) торговая марка
2139 ; Эмодзи # E0.6 [1] (ℹ️) информация
2194 ..2199 ; Эмодзи # E0.6 [6] (↔️..↙️) стрелка влево-вправо .. стрелка вниз-влево
21A9 ..21AA ; Эмодзи # E0.6 [2] (↩️..↪️) стрелка вправо, изгибающаяся влево .. стрелка влево, изгибающаяся вправо
231A..231B ; Эмодзи # E0.6 [2] (⌚..⌛) часы .. песочные часы готовы
2328 ; Эмодзи # E1.0 [1] (⌨️) клавиатура
23CF ; Эмодзи # E1.0 [1] (⏏️) кнопка извлечения
23E9..23EC ; Эмодзи # E0.6 [4] (⏩..⏬) кнопка быстрой перемотки вперед .. кнопка быстрого спуска 
23ED ..23EE ; Эмодзи # E0.7 [2] (⏭️..⏮️) кнопка следующего трека..кнопка последнего трека
23F; Эмодзи # E1.0 [1] (⏯️) кнопка воспроизведения или паузы
23F0; Эмодзи # E0.6 [1] (⏰) будильник
23F1..23F2 ; Эмодзи # E1.0 [2] (⏱️..⏲️) секундомер.. таймер
23F3 ; Эмодзи # E0.6 [1] (⏳) песочные часы не готовы
23F8..23FA ; Эмодзи # E0.7 [3] (⏸️..⏺️) кнопка паузы .. кнопка записи
24C2 ; Эмодзи # E0.6 [1] (Ⓜ️) обведены кружком M
25AA ..25AB ; Эмодзи # E0.6 [2] (▪️..▫️) черный маленький квадрат .. белый маленький квадрат
25B6 ; Эмодзи # E0.6 [1] (▶️) кнопка воспроизведения
25C0 ; Эмодзи # E0.6 [1] (◀️) кнопка обратного хода 
25FB .. 25FE ; Эмодзи # E0.6 [4] (◻️..◾) белый средний квадрат .. черный средний-маленький квадрат
2600 ..2601 ; Эмодзи # E0.6 [2] (☀️..☁️) солнце .. облако
2602..2603 ; Эмодзи # E0.7 [2] (☂️..☃️) зонтик..снеговик
2604 ; Эмодзи # E1.0 [1] (☄️) комета
260E ; Эмодзи # E0.6 [1] (☎️) телефон 
2611 ; Эмодзи # E0.6 [1] (☑️) флажок с отметкой
2614..2615 ; Эмодзи # E0.6 [2] (☔..☕) зонтик с каплями дождя..горячий напиток
2618 ; Эмодзи # E1.0 [1] (☘️) трилистник
261D ; Эмодзи # E0.6 [1] (☝️) указатель направлен вверх
2620 ; Эмодзи # E1.0 [1] (☠️) череп и скрещенные кости
2622..2623 ; Эмодзи # E1.0 [2] (☢️..☣️) радиоактивный..биологическая опасность
2626 ; Эмодзи # E1.0 [1] (☦️) православный крест
262A ; Эмодзи # E0.7 [1] (☪️) звезда и полумесяц
262E; Эмодзи # E1.0 [1] (☮️) символ мира
262F ; Эмодзи # E0.7 [1] (☯️) инь-ян
2638 ..2639 ; Эмодзи # E0.7 [2] (☸️..☹️) колесо дхармы .. хмурое лицо
263A ; Эмодзи # E0.6 [1] (☺️) улыбающееся лицо
2640 ; Эмодзи # E4.0 [1] (♀️) женский знак
2642 ; Эмодзи # E4.0 [1] (♂️) мужской знак
2648..2653 ; Эмодзи # E0.6 [12] (♈..♓) Овен..Рыбы
265F ; Эмодзи # E11.0 [1] (♟️) шахматная пешка
